Dim_Videregående_Typeutdanning[Studieprogram_navn_kort],[2019],[2020],[2021],[2022],[2023],[2024]
Maritim EL-fag (Vg3 bedrift),68,129,136,135,140,151
Maritim EL-fag (Vg3 skole),64,77,73,73,83,93
Maritime fag,547,597,674,706,798,867
Matrosfaget,661,705,745,810,856,975
Skipsmotormekanikerfaget,436,415,430,492,530,555
