Dim_Fagskole_Typeutdanning[Studieprogram_navn_kort],[2018],[2019],[2020],[2021],[2022],[2023],[2024],[2025]
Dekksoffiser,507,365,1102,1217,1173,1249,1566,1969
Maskinoffiser,246,240,491,773,694,547,851,1055
