Dim_Fagskole_Typeutdanning[Studieprogram_navn_kort],[2018],[2019],[2020],[2021],[2022],[2023],[2024],[2025]
Dekksoffiser,941,953,1004,975,926,932,1104,597
Maskinoffiser,731,697,667,697,704,693,783,392
